Comentarios;Comentarios_Limpios;Polaridad;Sentimiento
"mileball2
Uno tratando de educar a nuestros hijos para que no caigan en vicios y estos dando lugares especiales para eso xD
1 sem57 Me gustaResponder";"mileball2
uno tratando de educar a nuestros hijos para que no caigan en vicios y estos dando lugares especiales para eso xd
1 sem57 ";0;Neutral
"doctormarquezinternista
Todos los seres humanos merecen una segunda oportunidad pero por otro lado aunque esta opinión sea bastante impopular, es triste ver como en el mundo hemos sido perdiendo poco a poco las batallas en contra de las adicciones y tengamos que recurrir a este tipo de Salas para minimizar los daños
1 sem282 Me gustaResponder";"doctormarquezinternista
todos los seres humanos merecen una segunda oportunidad pero por otro lado aunque esta opinión sea bastante impopular, es triste ver como en el mundo hemos sido perdiendo poco a poco las batallas en contra de las adicciones y tengamos que recurrir a este tipo de salas para minimizar los daños
1 sem282 ";0;Neutral
"dante._________
Jajajajaj típico gobierno Petro. Ayudarlos a consumir más en vez de ayudarlos a dejar el consumo.
1 sem137 Me gustaResponder";"dante._________
jajajajaj típico gobierno petro. ayudarlos a consumir más en vez de ayudarlos a dejar el consumo.
1 sem137 ";0;Neutral
"manadet_
Me encanta. Los invito a todos a investigar como políticas de reducción de daños ha disminuido la delincuencia, las infecciones por VIH, y ha logrado que consumidores logren la inserción en la sociedad en países como Portugal y Suiza. Esto es un gran paso en la evolución de nuestra sociedad latinoamericana, y el inicio de un cambio de paradigma, dejando la guerra contra las drogas qué tanto daño nos ha hecho.
1 sem1.032 Me gustaResponder";"manadet_
me encanta. los invito a todos a investigar como políticas de reducción de daños ha disminuido la delincuencia, las infecciones por vih, y ha logrado que consumidores logren la inserción en la sociedad en países como portugal y suiza. esto es un gran paso en la evolución de nuestra sociedad latinoamericana, y el inicio de un cambio de paradigma, dejando la guerra contra las drogas qué tanto daño nos ha hecho.
1 sem1.032 ";0;Neutral
"arangomile
Se le tiene heroína y se le atiende, mientras las personas con cáncer esperan a que les aprueben la quimio algún día 🤦🏼🤦🏼
1 sem46 Me gustaResponder";"arangomile
se le tiene heroína y se le atiende, mientras las personas con cáncer esperan a que les aprueben la quimio algún día 🤦🏼🤦🏼
1 sem46 ";0;Neutral
"santiagosaaved0
Me parece bien la nueva forma de tratar un problema de salud pública 🙌
1 sem158 Me gustaResponder";"santiagosaaved0
me parece bien la nueva forma de tratar un problema de salud pública 🙌
1 sem158 ";0;Neutral
"alexperezdj
La verdad en países bajos , en Reiko unido ese tipo de piliticas son un éxito felicitaciones al personaje sea quien sea derecha o izquierda muy buena esa por la salud pública.. 10 de 10
1 sem383 Me gustaResponder";"alexperezdj
la verdad en países bajos , en reiko unido ese tipo de piliticas son un éxito felicitaciones al personaje sea quien sea derecha o izquierda muy buena esa por la salud pública.. 10 de 10
1 sem383 ";0;Neutral
"solsilvanazb_episig
Pero ojo, no es la primera. En el eje cafetero fue la primera, y en otros municipios se implementó la reducción de daños. Solo que este tema depende de la continuidad. Pero mis compañeras de salud mental y SPA del eje cafetero lo hicieron. Así que no es la primera. Ojo con esa imprecisión.
1 sem6 Me gustaResponder";"solsilvanazb_episig
pero ojo, no es la primera. en el eje cafetero fue la primera, y en otros municipios se implementó la reducción de daños. solo que este tema depende de la continuidad. pero mis compañeras de salud mental y spa del eje cafetero lo hicieron. así que no es la primera. ojo con esa imprecisión.
1 sem6 ";-0,1;Negativo
"alejoalegriia
Esta política tuvo mucho éxito en los 80’s en el Reino Unido, que bien que Colombia replique lo que funciona, espero lo ejecuten bien.
1 sem76 Me gustaResponder";"alejoalegriia
esta política tuvo mucho éxito en los 80’s en el reino unido, que bien que colombia replique lo que funciona, espero lo ejecuten bien.
1 sem76 ";0;Neutral
"jaralopez96
Venía a ver comentarios de petristas y uribistas, pero que sorpresa que la gente sea más empatica con el tema ! 😮
1 sem622 Me gustaResponder";"jaralopez96
venía a ver comentarios de petristas y uribistas, pero que sorpresa que la gente sea más empatica con el tema ! 😮
1 sem622 ";0;Neutral
"diegoromeroser
Es una excelente iniciativa, y lo más honesto por parte de @elespectador sería mencionar que fue una iniciativa del gobierno de @claudialopezcl
1 sem3 Me gustaResponder";"diegoromeroser
es una excelente iniciativa, y lo más honesto por parte de @elespectador sería mencionar que fue una iniciativa del gobierno de @claudialopezcl
1 sem3 ";0;Neutral
"elespectador
CONTENIDO SENSIBLE 🛑 En el centro de Bogotá funciona Cambie, la primera sala de consumo supervisado de drogas inyectables, en especial heroína, de Colombia y Suramérica. Esta estrategia de reducción de riesgos y daños busca prevenir sobredosis, minimizar contagios de enfermedades virales, como VIH y hepatitis, y disminuir el consumo y desechos de jeringas en el espacio público.

🎥 @nicolasachury @carlos.diaz.m
Editado · 1 sem";"elespectador
contenido sensible 🛑 en el centro de bogotá funciona cambie, la primera sala de consumo supervisado de drogas inyectables, en especial heroína, de colombia y suramérica. esta estrategia de reducción de riesgos y daños busca prevenir sobredosis, minimizar contagios de enfermedades virales, como vih y hepatitis, y disminuir el consumo y desechos de jeringas en el espacio público.

🎥 @nicolasachury @carlos.diaz.m
editado · 1 sem";0;Neutral
"diana_patriciagutierrezrivera
No pues que hermoso....
1 sem23 Me gustaResponder";"diana_patriciagutierrezrivera
no pues que hermoso....
1 sem23 ";0;Neutral
"juanp.olmos
Que buen proyecto e iniciativa. Atender a las personas usuarias desde enfoque de derechos humanos y salud. Muchos éxitos
1 sem1.100 Me gustaResponder";"juanp.olmos
que buen proyecto e iniciativa. atender a las personas usuarias desde enfoque de derechos humanos y salud. muchos éxitos
1 sem1.100 ";0;Neutral
"fidibiri
Ah.. pero cuando petro sugirió hacer esto en los Camad en Bogotá le echaron piedras desde todo lado….
1 sem145 Me gustaResponder";"fidibiri
ah.. pero cuando petro sugirió hacer esto en los camad en bogotá le echaron piedras desde todo lado….
1 sem145 ";0;Neutral
"chel_i_x
Es una estrategia que ha tenido muy buenos resultados en varios países. Los moralistas se jalarán los pelos de la QK, pero que importa. Que buena decisión.
1 sem671 Me gustaResponder";"chel_i_x
es una estrategia que ha tenido muy buenos resultados en varios países. los moralistas se jalarán los pelos de la qk, pero que importa. que buena decisión.
1 sem671 ";0;Neutral
"ortiz.purita
Y por qué no centros de rehabilitación??
1 sem9 Me gustaResponder";"ortiz.purita
y por qué no centros de rehabilitación??
1 sem9 ";0;Neutral
"_rayonn__
Similar a los modelos de los centros canadienses
1 sem31 Me gustaResponder";"_rayonn__
similar a los modelos de los centros canadienses
1 sem31 ";0;Neutral
"enriquezambranon
Todos los barrios están llenos de cantinas de mala muerte, pero cuidado abrimos un centro comunitario de consumo responsable. El chiste se cuenta solo
1 sem411 Me gustaResponder";"enriquezambranon
todos los barrios están llenos de cantinas de mala muerte, pero cuidado abrimos un centro comunitario de consumo responsable. el chiste se cuenta solo
1 sem411 ";0;Neutral
"floripondiasabanera
Este país no está preparado para esto, ya vamos a ver a los moralistas armando escándalo,.
1 sem359 Me gustaResponder";"floripondiasabanera
este país no está preparado para esto, ya vamos a ver a los moralistas armando escándalo,.
1 sem359 ";0;Neutral
"nia_bello_g
Ojalá la gente vea el video COMPLETO.
1 sem537 Me gustaResponder";"nia_bello_g
ojalá la gente vea el video completo.
1 sem537 ";0;Neutral
"gipadile
🔥🔥Maravilloso ! Los proyectos de reducción de riesgos y daños distantes a promover el consumo ; salvan vidas y devuelven la dignidad a personas usuarias …
1 sem42 Me gustaResponder";"gipadile
🔥🔥maravilloso ! los proyectos de reducción de riesgos y daños distantes a promover el consumo ; salvan vidas y devuelven la dignidad a personas usuarias …
1 sem42 ";0;Neutral
"laucfs
Que buen proyecto hay que empezar a hacerle frente a las situaciones y no solo ignorar o rechazar
1 sem36 Me gustaResponder";"laucfs
que buen proyecto hay que empezar a hacerle frente a las situaciones y no solo ignorar o rechazar
1 sem36 ";0;Neutral
"alerod.17
HAY QUE VER EL VIDEO COMPLETO PARA TENER MÁS CONTEXTO. Ufff muy fuerte el testimonio de la chica que cuenta su historia. Y toda mi admiración para los profesionales de la salud que atienden esta sala, jefe me le quitó el sombrero, hablar de salud pública en ese contexto no es fácil 👏🙌
1 sem327 Me gustaResponder";"alerod.17
hay que ver el video completo para tener más contexto. ufff muy fuerte el testimonio de la chica que cuenta su historia. y toda mi admiración para los profesionales de la salud que atienden esta sala, jefe me le quitó el sombrero, hablar de salud pública en ese contexto no es fácil 👏🙌
1 sem327 ";0;Neutral
"terpygirls.co
Mucha admiración para las personas que hacen parte del proyecto. Más amor para este mundo y menos estigma ❤️‍🩹
1 sem111 Me gustaResponder";"terpygirls.co
mucha admiración para las personas que hacen parte del proyecto. más amor para este mundo y menos estigma ❤️‍🩹
1 sem111 ";0;Neutral
"ceaoese
Gracias por abrir estos espacios 😭 en verdad duele ver como se pierden miles de vidas por el consumo y el comercio de drogas tan desmedido que hay en este pais 🥺
1 sem50 Me gustaResponder";"ceaoese
gracias por abrir estos espacios 😭 en verdad duele ver como se pierden miles de vidas por el consumo y el comercio de drogas tan desmedido que hay en este pais 🥺
1 sem50 ";0;Neutral
"danielduquevel
Gran proyecto 🙌

También desde el Congreso el Representante @davalho presentó un proyecto de ley de reducción de daños, muy valioso que esto se ponga en la agenda.
1 sem7 Me gustaResponder";"danielduquevel
gran proyecto 🙌

también desde el congreso el representante @davalho presentó un proyecto de ley de reducción de daños, muy valioso que esto se ponga en la agenda.
1 sem7 ";0;Neutral
"elespectador
Uno de los mayores desafíos que enfrenta TikTok es garantizar la protección de sus usuarios más jóvenes. A pesar de implementar herramientas de seguridad, filtros de contenido y funciones específicas para menores de edad, la plataforma ha sido señalada por exponer a adolescentes a riesgos como contenido inapropiado, ciberacoso, y la promoción de estándares de belleza poco realistas.

Con la intención de enfatizar en los posibles problemas de salud mental que pueden generarse en los adolescentes, la plataforma anunció en su Foro Europeo de Seguridad que bloqueará los filtros de belleza a los usuarios menores de 18 años. De acuerdo con la plataforma, los cambios se implementarán “en las próximas semanas” y además de las restricciones de los efectos que alteran la apariencia, incluirá una ampliación en las descripciones en los filtros para especificar qué ajustan cuando se aplican.

Amplíe la información en el link de nuestra bio
6 min";"elespectador
uno de los mayores desafíos que enfrenta tiktok es garantizar la protección de sus usuarios más jóvenes. a pesar de implementar herramientas de seguridad, filtros de contenido y funciones específicas para menores de edad, la plataforma ha sido señalada por exponer a adolescentes a riesgos como contenido inapropiado, ciberacoso, y la promoción de estándares de belleza poco realistas.

con la intención de enfatizar en los posibles problemas de salud mental que pueden generarse en los adolescentes, la plataforma anunció en su foro europeo de seguridad que bloqueará los filtros de belleza a los usuarios menores de 18 años. de acuerdo con la plataforma, los cambios se implementarán “en las próximas semanas” y además de las restricciones de los efectos que alteran la apariencia, incluirá una ampliación en las descripciones en los filtros para especificar qué ajustan cuando se aplican.

amplíe la información en el link de nuestra bio
6 min";-0,1;Negativo
"elespectador
En la más reciente encuesta de Invamer, revelada en la noche de este jueves, se midió cuál es la aprobación del presidente Gustavo Petro y de su vicepresidente, Francia Márquez.

A la pregunta “¿usted aprueba o desaprueba la forma como Gustavo Petro se está desempeñando en su labor como presidente de Colombia?”, el 59,9% de los consultados la desaprueba, lo que representa un aumento de 1,9% frente a la medición anterior correspondiente al mes de julio.

A Petro le pasan factura las constantes confrontaciones que sostiene con sus contradictores y los escándalos de corrupción que han salpicado a su círculo cercano. Mientras que a Márquez se le nota el desgaste, entre otras cosas, por la baja ejecución en el Ministerio de la Igualdad y su falta de protagonismo en el autodenominado gobierno del cambio.

Conozca más detalles de la encuesta en el enlace de la biografía.
1 h";"elespectador
en la más reciente encuesta de invamer, revelada en la noche de este jueves, se midió cuál es la aprobación del presidente gustavo petro y de su vicepresidente, francia márquez.

a la pregunta “¿usted aprueba o desaprueba la forma como gustavo petro se está desempeñando en su labor como presidente de colombia?”, el 59,9% de los consultados la desaprueba, lo que representa un aumento de 1,9% frente a la medición anterior correspondiente al mes de julio.

a petro le pasan factura las constantes confrontaciones que sostiene con sus contradictores y los escándalos de corrupción que han salpicado a su círculo cercano. mientras que a márquez se le nota el desgaste, entre otras cosas, por la baja ejecución en el ministerio de la igualdad y su falta de protagonismo en el autodenominado gobierno del cambio.

conozca más detalles de la encuesta en el enlace de la biografía.
1 h";0;Neutral
"carlos_m_fong
Y la credibilidad de este medio?
1 h61 Me gustaResponder";"carlos_m_fong
y la credibilidad de este medio?
1 h61 ";0;Neutral
"harol_sastoque
Petro el verdadero pueblo está contigo ❤️
1 h140 Me gustaResponder";"harol_sastoque
petro el verdadero pueblo está contigo ❤️
1 h140 ";0;Neutral
"fernandezmarinella
Fuera Petro
43 min39 Me gustaResponder";"fernandezmarinella
fuera petro
43 min39 ";0;Neutral
"ycastare_93
Esas encuestas las hacen en Envigado jajajajaja
1 h109 Me gustaResponder";"ycastare_93
esas encuestas las hacen en envigado jajajajaja
1 h109 ";0;Neutral
"luismoralescan
El Pueblo esta contigo presidente Gustavo Petro ✊🏻
43 min18 Me gustaResponder";"luismoralescan
el pueblo esta contigo presidente gustavo petro ✊🏻
43 min18 ";0;Neutral
"diegomontoya77
99% y 99.9%
1 h10 Me gustaResponder";"diegomontoya77
99% y 99.9%
1 h10 ";0;Neutral
"manubalavoine
Tenemos vicepresidenta? 🤔😂
57 min17 Me gustaResponder";"manubalavoine
tenemos vicepresidenta? 🤔😂
57 min17 ";0;Neutral
"jonathandrey22
Se nota la desaprobación en las marchas uribistas 🤡😂
1 h104 Me gustaResponder";"jonathandrey22
se nota la desaprobación en las marchas uribistas 🤡😂
1 h104 ";0;Neutral
"willmorenoti
Botón de: ¿a quién le han hecho la encuesta?----->
45 min3 Me gustaResponder";"willmorenoti
botón de: ¿a quién le han hecho la encuesta?----->
45 min3 ";0;Neutral
"jacintoruizh
Jajajaja encuestas de los medios de la desinformación, mentiras y manipulación
1 h54 Me gustaResponder";"jacintoruizh
jajajaja encuestas de los medios de la desinformación, mentiras y manipulación
1 h54 ";0;Neutral
"jaimemolinave
Y LA DE BENEDETI ESTÁ EN 99%.
1 h16 Me gustaResponder";"jaimemolinave
y la de benedeti está en 99%.
1 h16 ";0;Neutral
"n_alejo_hernandez
Me imagino que ese porcentaje fue el que fue a la plaza de Bolívar el 23 de noviembre 😂
1 h37 Me gustaResponder";"n_alejo_hernandez
me imagino que ese porcentaje fue el que fue a la plaza de bolívar el 23 de noviembre 😂
1 h37 ";0;Neutral
"vladimirmalambo
TRADUCCIÓN= PETRO TIENE 41% DE FAVORABILIDAD; FRANCIA TIENE UN 35% DE FAVORABILIDAD 💛💙❤️ EL CAMBIO ES IMPARABLE 💛💙❤️
1 h18 Me gustaResponder";"vladimirmalambo
traducción= petro tiene 41% de favorabilidad; francia tiene un 35% de favorabilidad 💛💙❤️ el cambio es imparable 💛💙❤️
1 h18 ";0;Neutral
"ingeseelec
Se les cayó la mascara con la que engañaron y le fingieron al pueblo.
58 min68 Me gustaResponder";"ingeseelec
se les cayó la mascara con la que engañaron y le fingieron al pueblo.
58 min68 ";0;Neutral
"edgarpulido02
A mi me sigue gustando la gestión de @gustavopetrourrego FIN.
1 h27 Me gustaResponder";"edgarpulido02
a mi me sigue gustando la gestión de @gustavopetrourrego fin.
1 h27 ";0;Neutral
"elespectador
Además de la muerte de la mujer de 65 años, se registraron cuatro niños heridos, que fueron trasladados a centros asistenciales.
1 h";"elespectador
además de la muerte de la mujer de 65 años, se registraron cuatro niños heridos, que fueron trasladados a centros asistenciales.
1 h";0;Neutral
"monicamartinezcortes
😢
1 h1 Me gustaResponder";"monicamartinezcortes
😢
1 h1 ";0;Neutral
"h_jant
Dios apiadate de ellos
1 hResponder";"h_jant
dios apiadate de ellos
1 hresponder";0;Neutral
"luzesalcedo
😢😢😢😢
44 minResponder";"luzesalcedo
😢😢😢😢
44 minresponder";0;Neutral
"rositatorresd
😢
51 minResponder";"rositatorresd
😢
51 minresponder";0;Neutral
"90_____89
😢😢😢😢😢😢😢😢
1 hResponder";"90_____89
😢😢😢😢😢😢😢😢
1 hresponder";0;Neutral
"oliden.nemesio_perezm
La pregunta. Porqué después de tantos años no habían demolido el edificio,. Alcaldía del lugar.
59 minResponder";"oliden.nemesio_perezm
la pregunta. porqué después de tantos años no habían demolido el edificio,. alcaldía del lugar.
59 minresponder";0;Neutral
"gigipattys
Evidentemente los municipios y distritos no hacen control urbano, la cosa empeoró desde la creación de la ley 1801 de 2016 que facultó a las inspecciones de policía a realizarlo, por supuesto, estos funcionarios no tienen la idoneidad para realizarlo, antes no suceden más tragedias en este país con tanta corrupción que hay.
1 hResponder";"gigipattys
evidentemente los municipios y distritos no hacen control urbano, la cosa empeoró desde la creación de la ley 1801 de 2016 que facultó a las inspecciones de policía a realizarlo, por supuesto, estos funcionarios no tienen la idoneidad para realizarlo, antes no suceden más tragedias en este país con tanta corrupción que hay.
1 hresponder";0;Neutral
"jucmorenomu
Y los uribistas de los Char que aprobaron eso, mas los ingenieros y arquitectos involucrados en la casa tranquilos rascandose las .....as porque saben que estan en el país de la impunidad y el vencimiento de términos
1 h7 Me gustaResponder";"jucmorenomu
y los uribistas de los char que aprobaron eso, mas los ingenieros y arquitectos involucrados en la casa tranquilos rascandose las .....as porque saben que estan en el país de la impunidad y el vencimiento de términos
1 h7 ";0;Neutral
"artesaniasdecolombiayelmundo
😢 pero es que la infraestructura de todo el sector está en la mala
1 hResponder";"artesaniasdecolombiayelmundo
😢 pero es que la infraestructura de todo el sector está en la mala
1 hresponder";0;Neutral
"nancyfigueroamejia45
Ahí estaban lis invasores indigentes y venezolanos, debieron demoler eso la constructora de @alejandrocharch har
1 h1 Me gustaResponder";"nancyfigueroamejia45
ahí estaban lis invasores indigentes y venezolanos, debieron demoler eso la constructora de @alejandrocharch har
1 h1 ";0;Neutral
"elespectador
La anticipada campaña electoral en la que entró el país por cuenta de la dura polarización pública que sostienen el presidente Gustavo Petro y sus contradictores, todos con intereses proselitistas para el 2026, comenzó a marcar ciertas tendencias en lo que podría ser la intención de voto.

Esto se desprende de la más reciente encuesta de Invamer, denominada Colombia Opina, en cuya medición de noviembre mostró que el podio de los cinco primeros en intención de voto se lo reparten dos mujeres y tres hombres.

En primer lugar figura Sergio Fajardo, con un 15,4%; le sigue Claudia López, con 12,6%; luego aparece Germán Vargas Lleras, con 9,2%; a continuación figura Gustavo Bolívar, con 8,6%; y después va Vicky Dávila, con otro 8,6%.

Conozca más de la encuesta en el enlace de la biografía.
2 h";"elespectador
la anticipada campaña electoral en la que entró el país por cuenta de la dura polarización pública que sostienen el presidente gustavo petro y sus contradictores, todos con intereses proselitistas para el 2026, comenzó a marcar ciertas tendencias en lo que podría ser la intención de voto.

esto se desprende de la más reciente encuesta de invamer, denominada colombia opina, en cuya medición de noviembre mostró que el podio de los cinco primeros en intención de voto se lo reparten dos mujeres y tres hombres.

en primer lugar figura sergio fajardo, con un 15,4%; le sigue claudia lópez, con 12,6%; luego aparece germán vargas lleras, con 9,2%; a continuación figura gustavo bolívar, con 8,6%; y después va vicky dávila, con otro 8,6%.

conozca más de la encuesta en el enlace de la biografía.
2 h";0;Neutral
"catachg
Quién va a votar por esos jajajajajjajajjajajajajjajajajaaja
2 h187 Me gustaResponder";"catachg
quién va a votar por esos jajajajajjajajjajajajajjajajajaaja
2 h187 ";0;Neutral
"yepoline
Me emociona más pagar el arriendo que está noticia
2 h132 Me gustaResponder";"yepoline
me emociona más pagar el arriendo que está noticia
2 h132 ";0;Neutral
"davidgomezpuentes
Invamer es una empresa que encuentra 200 personas de los estrados 5,6,7 y dicen que es la opinión de todo un país.
2 h49 Me gustaResponder";"davidgomezpuentes
invamer es una empresa que encuentra 200 personas de los estrados 5,6,7 y dicen que es la opinión de todo un país.
2 h49 ";0;Neutral
"pierreandresl
Triste panorama: tibio, caliente y recalentado!!!!!!
2 h70 Me gustaResponder";"pierreandresl
triste panorama: tibio, caliente y recalentado!!!!!!
2 h70 ";0;Neutral
"henrry.garcia.9828
Mejor Petro 😂
2 h46 Me gustaResponder";"henrry.garcia.9828
mejor petro 😂
2 h46 ";0;Neutral
"yezidcubil
Fajardo próximo presidente.
2 h16 Me gustaResponder";"yezidcubil
fajardo próximo presidente.
2 h16 ";0;Neutral
"macalola2020
Claudia ? Por Dios a seguir igual de mal que con Petro? No aprendemos
2 h43 Me gustaResponder";"macalola2020
claudia ? por dios a seguir igual de mal que con petro? no aprendemos
2 h43 ";0;Neutral
"brayancardenasposada
No saben cómo vender a Fajardo jejeje
2 h96 Me gustaResponder";"brayancardenasposada
no saben cómo vender a fajardo jejeje
2 h96 ";0;Neutral
"darkathenea
Hicieron la encuesta fuera de Chapinero y Usaquen?
1 h8 Me gustaResponder";"darkathenea
hicieron la encuesta fuera de chapinero y usaquen?
1 h8 ";0;Neutral
"liken_21
Intención de quienes? 😂😂😂😂😂
1 h4 Me gustaResponder";"liken_21
intención de quienes? 😂😂😂😂😂
1 h4 ";0;Neutral
"alpes413
Los dueños de invamer son los Londoño de la Cuesta , pues calculé la seriedad , paisa apoyando paisa , poco seria esa firma .
1 h13 Me gustaResponder";"alpes413
los dueños de invamer son los londoño de la cuesta , pues calculé la seriedad , paisa apoyando paisa , poco seria esa firma .
1 h13 ";0;Neutral
"girioficial1
😂😂😂 En serio? 😂😂😂
2 h2 Me gustaResponder";"girioficial1
😂😂😂 en serio? 😂😂😂
2 h2 ";0;Neutral
"iamdelaneydavid
😂😂😂
2 h4 Me gustaResponder";"iamdelaneydavid
😂😂😂
2 h4 ";0;Neutral
"majibastidas
😂😂🤣🤣🤣
2 h4 Me gustaResponder";"majibastidas
😂😂🤣🤣🤣
2 h4 ";0;Neutral
"jhonny9203david
Fajardo otra vez este man que. Ya se ha quemado 3 veces 😂. Amiga date cuenta
2 h34 Me gustaResponder";"jhonny9203david
fajardo otra vez este man que. ya se ha quemado 3 veces 😂. amiga date cuenta
2 h34 ";0;Neutral
